Fecha,Latitud,Longitud,SST,Mes,Año
1981-09-01,22.625,-107.125,28.87767,9,1981
1981-10-01,22.625,-107.125,28.74871,10,1981
1981-11-01,22.625,-107.125,26.996,11,1981
1981-12-01,22.625,-107.125,25.5829,12,1981
1982-01-01,22.625,-107.125,23.63032,1,1982
1982-02-01,22.625,-107.125,22.1275,2,1982
1982-03-01,22.625,-107.125,22.59903,3,1982
1982-04-01,22.625,-107.125,23.04533,4,1982
1982-05-01,22.625,-107.125,25.42064,5,1982
1982-06-01,22.625,-107.125,26.278,6,1982
1982-07-01,22.625,-107.125,27.71322,7,1982
1982-08-01,22.625,-107.125,29.12677,8,1982
1982-09-01,22.625,-107.125,29.97267,9,1982
1982-10-01,22.625,-107.125,28.64129,10,1982
1982-11-01,22.625,-107.125,27.238,11,1982
1982-12-01,22.625,-107.125,25.89968,12,1982
1983-01-01,22.625,-107.125,25.04161,1,1983
1983-02-01,22.625,-107.125,24.03607,2,1983
1983-03-01,22.625,-107.125,23.45452,3,1983
1983-04-01,22.625,-107.125,23.631,4,1983
1983-05-01,22.625,-107.125,25.83903,5,1983
1983-06-01,22.625,-107.125,27.94833,6,1983
1983-07-01,22.625,-107.125,29.08387,7,1983
1983-08-01,22.625,-107.125,29.06839,8,1983
1983-09-01,22.625,-107.125,29.12933,9,1983
1983-10-01,22.625,-107.125,29.2,10,1983
1983-11-01,22.625,-107.125,27.622,11,1983
1983-12-01,22.625,-107.125,25.74194,12,1983
1984-01-01,22.625,-107.125,23.83903,1,1984
1984-02-01,22.625,-107.125,23.20207,2,1984
1984-03-01,22.625,-107.125,23.44968,3,1984
1984-04-01,22.625,-107.125,23.948,4,1984
1984-05-01,22.625,-107.125,24.65936,5,1984
1984-06-01,22.625,-107.125,26.17633,6,1984
1984-07-01,22.625,-107.125,27.61452,7,1984
1984-08-01,22.625,-107.125,29.76387,8,1984
1984-09-01,22.625,-107.125,28.68167,9,1984
1984-10-01,22.625,-107.125,28.92258,10,1984
1984-11-01,22.625,-107.125,25.99967,11,1984
1984-12-01,22.625,-107.125,23.72064,12,1984
1985-01-01,22.625,-107.125,22.36935,1,1985
1985-02-01,22.625,-107.125,20.86536,2,1985
1985-03-01,22.625,-107.125,21.11387,3,1985
1985-04-01,22.625,-107.125,22.17533,4,1985
1985-05-01,22.625,-107.125,23.75129,5,1985
1985-06-01,22.625,-107.125,26.36633,6,1985
1985-07-01,22.625,-107.125,27.56258,7,1985
1985-08-01,22.625,-107.125,29.07935,8,1985
1985-09-01,22.625,-107.125,29.46967,9,1985
1985-10-01,22.625,-107.125,29.24161,10,1985
1985-11-01,22.625,-107.125,27.117,11,1985
1985-12-01,22.625,-107.125,24.52581,12,1985
1986-01-01,22.625,-107.125,22.19323,1,1986
1986-02-01,22.625,-107.125,22.22714,2,1986
1986-03-01,22.625,-107.125,22.51774,3,1986
1986-04-01,22.625,-107.125,23.97167,4,1986
1986-05-01,22.625,-107.125,25.62387,5,1986
1986-06-01,22.625,-107.125,26.048,6,1986
1986-07-01,22.625,-107.125,28.34677,7,1986
1986-08-01,22.625,-107.125,28.78968,8,1986
1986-09-01,22.625,-107.125,28.563,9,1986
1986-10-01,22.625,-107.125,27.41581,10,1986
1986-11-01,22.625,-107.125,26.038,11,1986
1986-12-01,22.625,-107.125,24.15548,12,1986
1987-01-01,22.625,-107.125,21.96064,1,1987
1987-02-01,22.625,-107.125,22.23571,2,1987
1987-03-01,22.625,-107.125,22.61935,3,1987
1987-04-01,22.625,-107.125,22.75667,4,1987
1987-05-01,22.625,-107.125,25.03806,5,1987
1987-06-01,22.625,-107.125,26.467,6,1987
1987-07-01,22.625,-107.125,29.41419,7,1987
1987-08-01,22.625,-107.125,29.49355,8,1987
1987-09-01,22.625,-107.125,30.32467,9,1987
1987-10-01,22.625,-107.125,29.31452,10,1987
1987-11-01,22.625,-107.125,27.96133,11,1987
1987-12-01,22.625,-107.125,24.47903,12,1987
1988-01-01,22.625,-107.125,22.17484,1,1988
1988-02-01,22.625,-107.125,21.50586,2,1988
1988-03-01,22.625,-107.125,21.36806,3,1988
1988-04-01,22.625,-107.125,22.563,4,1988
1988-05-01,22.625,-107.125,24.03935,5,1988
1988-06-01,22.625,-107.125,24.28833,6,1988
1988-07-01,22.625,-107.125,27.42064,7,1988
1988-08-01,22.625,-107.125,28.28226,8,1988
1988-09-01,22.625,-107.125,28.15633,9,1988
1988-10-01,22.625,-107.125,28.85806,10,1988
1988-11-01,22.625,-107.125,25.82667,11,1988
1988-12-01,22.625,-107.125,22.71258,12,1988
1989-01-01,22.625,-107.125,19.98161,1,1989
1989-02-01,22.625,-107.125,19.62393,2,1989
1989-03-01,22.625,-107.125,21.5629,3,1989
1989-04-01,22.625,-107.125,23.77367,4,1989
1989-05-01,22.625,-107.125,25.35097,5,1989
1989-06-01,22.625,-107.125,26.05367,6,1989
1989-07-01,22.625,-107.125,28.14935,7,1989
1989-08-01,22.625,-107.125,28.32129,8,1989
1989-09-01,22.625,-107.125,28.724,9,1989
1989-10-01,22.625,-107.125,29.03742,10,1989
1989-11-01,22.625,-107.125,27.26067,11,1989
1989-12-01,22.625,-107.125,25.05613,12,1989
